,Datetime,Text,Username,Geolocation
89,2020-06-09 23:13:02+00:00,"The Left are obsessed with the Colston 'victory' right now. Let them have their perceived moment of glory, and let's see what happens to them when they try to attack the Churchill statue this weekend.",tankhead666,
90,2020-06-09 23:12:52+00:00,I'm not sure 'the public at large' have been given any opportunity to express their view on the matter. But the one poll I've seen re Colston suggests the median Brit thinks the statue should have come down but doesn't approve of how it happened.,dijdowell,
91,2020-06-09 23:11:30+00:00,"Also the removal of Colston has generated MORE discussion around what he did than if the statue was left alone, which is the grounds for which some people say it should remain. Stick them all in museums with plaques next to them outlining what they’ve done",dontclingtolife,
92,2020-06-09 23:11:05+00:00,They've been converted into museums which are specifically there to educate and document. These statues seem to be commemorating and venerating here in the UK. Did the Colston statue include biographical information about mass drowning of slaves?,ukoddball,
93,2020-06-09 23:11:03+00:00,"No fella. You're failing to see the bigger picture. If this memorial, or statue is of, or for known racists, or slavers, then they rightly should be torn down. Protecting it means you're a protector and harbourer of racist ideologies. Edward Colston: Cecil Rhodes: pending",Yourhighness84,
94,2020-06-09 23:10:07+00:00,Guys what if Keir Starmer said what he said about Colston because of his ties to Big Statue?,DarylPGordon,
95,2020-06-09 23:06:50+00:00,Because they were learning so much about Colston from his statue and the plaque proclaiming him to be a great man. ,islandniles,
96,2020-06-09 23:06:50+00:00,"Tearing down the statue of the slaver Edward Colston was the right thing to do and it has scared the living daylights out of the racist British establishment, which as we tweet is frantically taking down the racist statues they put up before we get to them. #BlackLivesMatter",damian_from,
97,2020-06-09 23:06:44+00:00,'The toppling of Edward Colston's statue is not an attack on history. It is history' ,HarrietOrange,
98,2020-06-09 23:05:39+00:00,Museums maybe. I know the Colston statue is to be fished out and out into their museum about the slave trade where it can be contextualised properly,BlueLightAlarm,
99,2020-06-09 23:05:20+00:00,"To anyone still upset by the removal of the colston statue, look at the chain of events it’s started ",MaxwellBlogs,
100,2020-06-09 23:05:05+00:00,"Colston's statue is the perfect example. It was erected in 1895, 62 years after the British abolition of slavery, 171 years after his death. It made no reference to his actions at the head of the Royal African Company, or even the harsh rules of his charitable institutions.",James_CPP,
101,2020-06-09 23:04:01+00:00,"Ripping down Sadaam's statue was bad, was it? The people of Bristol have been trying to have Colston's statue removed for 40 years. 11.000 people signed a petition to have it removed from the city centre.",Av8trix1,
102,2020-06-09 23:03:45+00:00,The tearing down of a statue 2 days ago brought about the biggest conversation this country has had about racism in generations. People who never knew who Colston was now understand British slavery and the subsequent inherited wealth and privilege it created. Let’s keep tearing!,shanerharte,
103,2020-06-09 23:03:23+00:00,Here’s the council that refused to remove #colstonstatue ,PLoyalties,
104,2020-06-09 23:03:17+00:00,"I'm bringing up their blatant hypocrisy because this shows apathy towards art in the first place. I think most people who love art and sculpted pieces know that a statue like the Colston one was not meant to be artful, or express anything. It was meant to be a symbol, an-",PushinUpRoses,
105,2020-06-09 23:03:07+00:00,"Anyone equating removing a statue with erasing history already knows they don’t have a pot to piss in, argument wise. #colston #milligan #statues",DawnRayDancing,
106,2020-06-09 23:02:39+00:00,I'm sure people who wouldn't have noticed if the Edward Colston statue had been replaced with a giant bronze dildo care deeply about preserving our cultural heritage. It's definitely not just about wanting the minorities and lefties to not win; to let them tell you what's what.,gavinmit,
107,2020-06-09 23:02:39+00:00,"You're very mistaken about what happened in Bristol! The crowd was actually trying to enslave the Colston statue, but he died along the journey so they threw him overboard. #ColstonHasFallen",WhiteCrone,
108,2020-06-09 23:02:25+00:00,Thanks for sharing Michelle. Much appreciated. Would love to see Colston's statue get a yearly dunk.,duckrabbitblog,
109,2020-06-09 23:02:20+00:00,"Andy Townsend on the toppling of the statue of Edward Colston. ""There is contact, but is it enough for him to go down. I'm not sure Clive"" ",HMchappyface,
110,2020-06-09 23:02:17+00:00,Who/what should we replace the statues with? Genuine answers this way #RobertMilligan #colstonstatue #ReplaceTheStatue #BlackLivesMatter,Noodles_Opinion,
111,2020-06-09 23:01:56+00:00,The toppling of Colston's statue hurt the feelings of those who deep down rue the fact Britain doesn't have an empire any more.,AaronGolightly_,
112,2020-06-09 23:01:40+00:00,Wonder if Keir reckons this would or wouldn’t have happened if Colston statue wasn’t pulled down in that way ,HarryGoldsmith1,
113,2020-06-09 23:01:18+00:00,Anyone who got out jumped by a South American midget on coke please go and join the Colston statue ,BrianKiddsMate2,
114,2020-06-09 23:01:09+00:00,Ragionamento semplice e pulito. Colston’s statue shows society’s values are not set in stone via @FT,letipezz,
115,2020-06-09 23:01:04+00:00,"I've seen some of my older family members on the Hell site known as facebook blindly talk about the destruction of ""art"" (in quotes because they are referring to tearing down the Edward Colston statue), and since I am an artist and I care about its history and preservation-",PushinUpRoses,
116,2020-06-09 23:00:51+00:00,"Absolutely shocked and disappointed that you associate yourself with Farage. At least Colston's statue has started a debate. Some people have no idea of our past, all in the pursuit of profit. ",Hilary1952,
117,2020-06-09 23:00:50+00:00,"Since the 1990s they have been petitions to take down the statue. There have been petitions to have a plaque explaining how Edward Colston was an evil slave trader No one listened, nothing happened. Sometimes people decide enough is enough And read a history book",JaneMaunsell,
118,2020-06-09 22:59:35+00:00,Bristol City Council: Replace the Colston Statue with Paul Stephenson - Sign the Petition! http://chng.it/ZhBxkPMk via @Change,sorbettii,
119,2020-06-09 22:58:31+00:00,"They should pull it out of the harbour and put it in a museum - in exactly the condition in which it is salvaged, ropes still attached. The information provided with the exhibit should explain the whole story.#colstonstatue",grammarpuss13,
120,2020-06-09 22:58:06+00:00,Keir Starmer retweeted David Lammy on the toppling of the Colston statue and has taken a clear stance on anti Semitism. #edwardcolstonstatue #KeirStarmer #DavidLammy #antisemitism,GeoffBent,
121,2020-06-09 22:58:02+00:00,"Bristol statue shoved by Police could be an ANTIFA provocateur. 125 year old Edward Colston was pushed away after appearing to scan police communications in order to black out the equipment. @OANN I watched, he fell harder than was pushed. Was aiming scanner. Could be a set up?",laurenapolis,
122,2020-06-09 22:57:39+00:00,"Moment that made me very proud of my family - we have a(n extremely cute) weekly quiz night. This week @PaddyHrty was asking the questions, and one of the questions was how many meters deep will Colston's statue have sunk - and when he asked there was a spontaneous cheer.",lastpositivist,
123,2020-06-09 22:57:39+00:00,"Using the same logic as those saying that Edward Colston's statue was 'educational' and a 'reminder of the horrors of the slave trade', I'm thinking of crowd funding a statue of Hitler for the East End of London, as an 'educational reminder of the horrors of the blitz'.",DerryAirIreland,
124,2020-06-09 22:57:31+00:00,"Listen to this awesome ode to the fallen statue of Colston: ‘You, who perfected the ratio of blood to sugar to money to bricks.....you are hollow’. ",lnrmoss,
125,2020-06-09 22:57:23+00:00,An expert in public history branded Edward Colston an « evil man » that should have never had a statue erected in his honour ,h24news_uk,
126,2020-06-09 22:57:07+00:00,"“Statues should be taken down in a legal, democratic way” people cried about the Colston statue. Now a democratically elected council has legally removed another statue of a slave trader, the complaints are of “rewriting history”. It’s almost like they just like racist statues ",DaveKempsell,
127,2020-06-09 22:57:04+00:00,"A statue of genocidal profiteer, Leopold II has been pulled down in Belgium. These slaver groupies will be beside themselves. I think they all have fantasies of owning a black person. Their defene of Colston gets more absurd by the wteet.",DavidLinney5,
128,2020-06-09 22:57:00+00:00,Bristol City council : Replace the statue of Edward Colston with a memorial to slaves who built Britain - Sign the Petition! http://chng.it/pM5Zj4Lp via @UKChange,HaydenHannis,
129,2020-06-09 22:56:26+00:00,"Also Keir Starmer - ""completely wrong"" to tear down the colston statue ""shouldn't have been done in that way"" ",jdubspear,
130,2020-06-09 22:56:21+00:00,"I understand your point about Colston not deserving a statue, but so much of world history is written by the victor. There were things which were socially acceptable even a few decades ago which are anathema today.",Aquitaine,
131,2020-06-09 22:55:44+00:00,yep no-one knows who Edward Colston is now. removing a statue idolising someone definitely removes them from the historical record. ,Emilytakesphoto,
132,2020-06-09 22:54:53+00:00,"I’ve been thinking about Colston for the last few days, and my considered opinion is this: Anyone wanting to put the statue in a museum can get to fuck. That implies there’s something interesting about it, or him. Melt it down. Make a new statue. Make good history from bad.",piersb,
133,2020-06-09 22:54:17+00:00,"That does not mean I condone illegal behaviour. I think putting the Colston statue in a museum, graffiti, damage and all, would be a better historical testament than to replace it.",CarlaSpradbery,
134,2020-06-09 22:54:16+00:00,"The Colston statue wasn't a monument to his role in the slave trade though, it was because he was a key player in the Victorian revolution of Christian charity, as promoted by Dickens and which led directly to fundamental reform in work, health and public welfare in the c20th.",maclockdown,
135,2020-06-09 22:53:26+00:00,"The death of George Floyd, the US protests & the toppling of Colston's statue in Bristol on Sunday have made it impossible for the usual crowd to dismiss #RhodesMustFall as student politics. Activism, and especially Black-led international activism, has made all the difference./",NicholasGuyatt,
136,2020-06-09 22:52:29+00:00,Banksy unveils new artwork as he says statue toppling of slave trader Edward Colston should be commemorated ,2012KatieK,
